2015-08-27 10:18:55,853 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:18:55] "GET / HTTP/1.1" 404 -
2015-08-27 10:18:55,873 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:18:55] "GET /static/css/lib/united.bootstrap.min.css HTTP/1.1" 304 -
2015-08-27 10:18:55,879 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:18:55] "GET /static/css/lib/bootstrap-responsive.css HTTP/1.1" 304 -
2015-08-27 10:18:55,885 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:18:55] "GET /static/css/ui-lightness/jquery-ui-1.10.4.custom.min.css HTTP/1.1" 304 -
2015-08-27 10:18:55,889 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:18:55] "GET /static/css/main.css HTTP/1.1" 304 -
2015-08-27 10:18:55,895 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:18:55] "GET /static/logo-placeholder.gif HTTP/1.1" 304 -
2015-08-27 10:18:55,899 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:18:55] "GET /static/eircom-2colour.png HTTP/1.1" 304 -
2015-08-27 10:18:55,905 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:18:55] "GET /static/js/lib/bootstrap.js HTTP/1.1" 304 -
2015-08-27 10:18:55,908 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:18:55] "GET /static/js/lib/jquery.js HTTP/1.1" 404 -
2015-08-27 10:18:55,911 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:18:55] "GET /static/js/main.js HTTP/1.1" 304 -
2015-08-27 10:19:23,905 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:19:23] "GET / HTTP/1.1" 404 -
2015-08-27 10:19:23,936 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:19:23] "GET /static/css/lib/united.bootstrap.min.css HTTP/1.1" 304 -
2015-08-27 10:19:23,941 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:19:23] "GET /static/css/lib/bootstrap-responsive.css HTTP/1.1" 304 -
2015-08-27 10:19:23,947 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:19:23] "GET /static/css/main.css HTTP/1.1" 304 -
2015-08-27 10:19:23,952 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:19:23] "GET /static/eircom-2colour.png HTTP/1.1" 304 -
2015-08-27 10:19:23,956 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:19:23] "GET /static/logo-placeholder.gif HTTP/1.1" 304 -
2015-08-27 10:19:23,960 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:19:23] "GET /static/css/ui-lightness/jquery-ui-1.10.4.custom.min.css HTTP/1.1" 304 -
2015-08-27 10:19:23,963 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:19:23] "GET /static/js/lib/jquery.js HTTP/1.1" 404 -
2015-08-27 10:19:23,967 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:19:23] "GET /static/js/main.js HTTP/1.1" 304 -
2015-08-27 10:19:23,971 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:19:23] "GET /static/js/lib/bootstrap.js HTTP/1.1" 304 -
2015-08-27 10:23:26,102 INFO | _internal | werkzeug |  * Detected change in '/Users/holbrookm/Dropbox/PYTHON/Marc/ACTIVE/SoapEMA/live/app/__init__.py', reloading
2015-08-27 10:23:26,532 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 10:23:26,566 DEBUG | __init__ | root | ** Leaving FUNC::::::: app.__init__.create_app()
2015-08-27 10:27:52,129 INFO | _internal | werkzeug |  * Detected change in '/Users/holbrookm/Dropbox/PYTHON/Marc/ACTIVE/SoapEMA/live/app/models.py', reloading
2015-08-27 10:27:52,470 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 10:27:52,513 DEBUG | __init__ | root | ** Leaving FUNC::::::: app.__init__.create_app()
2015-08-27 10:28:43,420 INFO | _internal | werkzeug |  * Detected change in '/Users/holbrookm/Dropbox/PYTHON/Marc/ACTIVE/SoapEMA/live/app/models.py', reloading
2015-08-27 10:29:54,855 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 10:29:54,902 DEBUG | __init__ | root | ** Leaving FUNC::::::: app.__init__.create_app()
2015-08-27 10:29:54,922 INFO | _internal | werkzeug |  * Running on http://0.0.0.0:4400/ (Press CTRL+C to quit)
2015-08-27 10:29:54,925 INFO | _internal | werkzeug |  * Restarting with stat
2015-08-27 10:29:55,206 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 10:29:55,239 DEBUG | __init__ | root | ** Leaving FUNC::::::: app.__init__.create_app()
2015-08-27 10:30:10,741 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:30:10] "GET / HTTP/1.1" 404 -
2015-08-27 10:30:10,759 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:30:10] "GET /static/css/lib/united.bootstrap.min.css HTTP/1.1" 304 -
2015-08-27 10:30:10,762 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:30:10] "GET /static/css/lib/bootstrap-responsive.css HTTP/1.1" 304 -
2015-08-27 10:30:10,767 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:30:10] "GET /static/css/ui-lightness/jquery-ui-1.10.4.custom.min.css HTTP/1.1" 304 -
2015-08-27 10:30:10,773 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:30:10] "GET /static/css/main.css HTTP/1.1" 304 -
2015-08-27 10:30:10,776 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:30:10] "GET /static/logo-placeholder.gif HTTP/1.1" 304 -
2015-08-27 10:30:10,782 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:30:10] "GET /static/eircom-2colour.png HTTP/1.1" 304 -
2015-08-27 10:30:10,787 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:30:10] "GET /static/js/lib/jquery.js HTTP/1.1" 404 -
2015-08-27 10:30:10,792 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:30:10] "GET /static/js/main.js HTTP/1.1" 304 -
2015-08-27 10:30:10,796 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 10:30:10] "GET /static/js/lib/bootstrap.js HTTP/1.1" 304 -
2015-08-27 10:32:33,881 INFO | _internal | werkzeug |  * Detected change in '/Users/holbrookm/Dropbox/PYTHON/Marc/ACTIVE/SoapEMA/live/app/auth/__init__.py', reloading
2015-08-27 10:32:33,955 INFO | _internal | werkzeug |  * Restarting with stat
2015-08-27 10:32:34,243 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 10:32:34,278 DEBUG | __init__ | root | FUNC::::::: app.auth.__init__
2015-08-27 10:32:34,278 DEBUG | __init__ | root | **Leaving FUNC::::::: app.auth.__init__
2015-08-27 10:32:34,280 DEBUG | __init__ | root | ** Leaving FUNC::::::: app.__init__.create_app()
2015-08-27 11:39:04,256 INFO | _internal | werkzeug |  * Detected change in '/Users/holbrookm/Dropbox/PYTHON/Marc/ACTIVE/SoapEMA/live/app/auth/views.py', reloading
2015-08-27 11:39:04,366 INFO | _internal | werkzeug |  * Restarting with stat
2015-08-27 11:39:04,895 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 11:39:04,976 DEBUG | __init__ | root | FUNC::::::: app.auth.__init__
2015-08-27 11:39:04,978 DEBUG | __init__ | root | **Leaving FUNC::::::: app.auth.__init__
2015-08-27 11:39:04,979 DEBUG | __init__ | root | ** Leaving FUNC::::::: app.__init__.create_app()
2015-08-27 11:42:45,006 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:42:45] "GET / HTTP/1.1" 404 -
2015-08-27 11:42:45,041 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:42:45] "GET /static/css/main.css HTTP/1.1" 200 -
2015-08-27 11:42:45,045 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:42:45] "GET /static/css/ui-lightness/jquery-ui-1.10.4.custom.min.css HTTP/1.1" 200 -
2015-08-27 11:42:45,051 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:42:45] "GET /static/css/lib/bootstrap-responsive.css HTTP/1.1" 200 -
2015-08-27 11:42:45,055 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:42:45] "GET /static/logo-placeholder.gif HTTP/1.1" 200 -
2015-08-27 11:42:45,059 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:42:45] "GET /static/eircom-2colour.png HTTP/1.1" 200 -
2015-08-27 11:42:45,062 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:42:45] "GET /static/css/lib/united.bootstrap.min.css HTTP/1.1" 200 -
2015-08-27 11:42:45,067 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:42:45] "GET /static/js/lib/jquery.js HTTP/1.1" 404 -
2015-08-27 11:42:45,070 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:42:45] "GET /static/js/main.js HTTP/1.1" 200 -
2015-08-27 11:42:45,073 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:42:45] "GET /static/js/lib/bootstrap.js HTTP/1.1" 200 -
2015-08-27 11:42:45,139 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:42:45] "GET /assets/ico/favicon.ico HTTP/1.1" 404 -
2015-08-27 11:50:59,413 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:50:59] "GET / HTTP/1.1" 404 -
2015-08-27 11:50:59,425 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:50:59] "GET /static/css/lib/united.bootstrap.min.css HTTP/1.1" 304 -
2015-08-27 11:50:59,482 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:50:59] "GET /static/css/ui-lightness/jquery-ui-1.10.4.custom.min.css HTTP/1.1" 304 -
2015-08-27 11:50:59,488 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:50:59] "GET /static/css/lib/bootstrap-responsive.css HTTP/1.1" 304 -
2015-08-27 11:50:59,492 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:50:59] "GET /static/css/main.css HTTP/1.1" 304 -
2015-08-27 11:50:59,495 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:50:59] "GET /static/logo-placeholder.gif HTTP/1.1" 304 -
2015-08-27 11:50:59,498 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:50:59] "GET /static/eircom-2colour.png HTTP/1.1" 304 -
2015-08-27 11:50:59,501 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:50:59] "GET /static/js/lib/jquery.js HTTP/1.1" 404 -
2015-08-27 11:50:59,505 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:50:59] "GET /static/js/main.js HTTP/1.1" 304 -
2015-08-27 11:50:59,511 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:50:59] "GET /static/js/lib/bootstrap.js HTTP/1.1" 304 -
2015-08-27 11:54:39,034 INFO | _internal | werkzeug |  * Detected change in '/Users/holbrookm/Dropbox/PYTHON/Marc/ACTIVE/SoapEMA/live/app/__init__.py', reloading
2015-08-27 11:54:39,094 INFO | _internal | werkzeug |  * Restarting with stat
2015-08-27 11:54:39,418 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 11:54:39,453 DEBUG | __init__ | root | FUNC::::::: app.auth.__init__
2015-08-27 11:54:39,453 DEBUG | __init__ | root | **Leaving FUNC::::::: app.auth.__init__
2015-08-27 11:54:39,455 DEBUG | __init__ | root | ** Leaving FUNC::::::: app.__init__.create_app()
2015-08-27 11:55:19,175 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:55:19] "GET / HTTP/1.1" 404 -
2015-08-27 11:55:19,202 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:55:19] "GET /static/css/lib/bootstrap-responsive.css HTTP/1.1" 304 -
2015-08-27 11:55:19,206 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:55:19] "GET /static/css/main.css HTTP/1.1" 304 -
2015-08-27 11:55:19,222 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:55:19] "GET /static/css/ui-lightness/jquery-ui-1.10.4.custom.min.css HTTP/1.1" 304 -
2015-08-27 11:55:19,229 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:55:19] "GET /static/logo-placeholder.gif HTTP/1.1" 304 -
2015-08-27 11:55:19,234 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:55:19] "GET /static/eircom-2colour.png HTTP/1.1" 304 -
2015-08-27 11:55:19,238 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:55:19] "GET /static/css/lib/united.bootstrap.min.css HTTP/1.1" 304 -
2015-08-27 11:55:19,243 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:55:19] "GET /static/js/lib/jquery.js HTTP/1.1" 404 -
2015-08-27 11:55:19,247 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 11:55:19] "GET /static/js/main.js HTTP/1.1" 304 -
